app,policy_area,metric,period,value
Facebook,Hateful Conduct,Content Actioned,2021Q1,"25,200,000"
Facebook,Hateful Conduct,Content Actioned,2021Q2,"31,500,000"
Facebook,Hateful Conduct,Content Actioned,2021Q3,"22,300,000"
Facebook,Hateful Conduct,Content Actioned,2021Q4,"17,400,000"
Facebook,Hateful Conduct,Content Actioned,2022Q1,"15,100,000"
Facebook,Hateful Conduct,Content Actioned,2022Q2,"13,500,000"
Facebook,Hateful Conduct,Content Actioned,2022Q3,"10,600,000"
Facebook,Hateful Conduct,Content Actioned,2022Q4,"11,000,000"
Facebook,Hateful Conduct,Content Actioned,2023Q1,"10,700,000"
Facebook,Hateful Conduct,Content Actioned,2023Q2,"18,000,000"
Facebook,Hateful Conduct,Content Actioned,2023Q3,"9,600,000"
Facebook,Hateful Conduct,Content Actioned,2023Q4,"7,400,000"
Facebook,Hateful Conduct,Content Actioned,2024Q1,"7,400,000"
Facebook,Hateful Conduct,Content Actioned,2024Q2,"7,200,000"
Facebook,Hateful Conduct,Content Actioned,2024Q3,"6,400,000"
Facebook,Hateful Conduct,Content Actioned,2024Q4,"5,800,000"
Facebook,Hateful Conduct,Content Actioned,2025Q1,"3,400,000"
Facebook,Hateful Conduct,Content Actioned,2025Q2,"3,000,000"
Facebook,Hateful Conduct,Content Actioned,2025Q3,"1,200,000"
Facebook,Hateful Conduct,Content Actioned,2025Q4,"1,300,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2017Q4,N/A
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2018Q1,N/A
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2018Q2,N/A
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2018Q3,N/A
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2018Q4,"572,400"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2019Q1,"820,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2019Q2,"2,600,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2019Q3,"4,400,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2019Q4,"8,800,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2020Q1,"7,900,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2020Q2,"5,800,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2020Q3,"4,700,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2020Q4,"4,300,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2021Q1,"3,200,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2021Q2,"2,300,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2021Q3,"2,700,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2021Q4,"4,000,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2022Q1,"3,300,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2022Q2,"3,900,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2022Q3,"4,100,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2022Q4,"5,400,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2023Q1,"3,100,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2023Q2,"2,600,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2023Q3,"1,800,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2023Q4,"1,800,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2024Q1,"1,700,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2024Q2,"1,700,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2024Q3,"1,600,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2024Q4,"2,400,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2025Q1,"2,500,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2025Q2,"3,700,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2025Q3,"3,100,000"
Facebook,Restricted Goods & Services: Drugs,Content Actioned,2025Q4,"3,800,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2017Q4,N/A
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2018Q1,N/A
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2018Q2,N/A
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2018Q3,N/A
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2018Q4,"689,800"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2019Q1,"609,100"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2019Q2,"2,500,000"
Facebook,Restricted Goods & Services: Firearms,Content Actioned,2019Q3,"2,300,000"
