rank,c2020,a2020,c2021,a2021,c2022,a2022,c2023,a2023,c2024,a2024
129,0.001952669990300186,0.003422239513537659,0.0021168603112746865,0.0037286387649293332,0.0041898419840974074,0.007121494081350507,0.003280713226394138,0.00579526179395726,0.0025592568534291414,0.0043222436838629774
130,0.0019738503087010075,0.003432393753295339,0.0021646277622340573,0.003762487239600451,0.004194270541838581,0.007133312950719283,0.0033325283747886983,0.005809811369170537,0.0025633560907070856,0.004353772401815334
131,0.0020140252454417954,0.003433242900655157,0.002165788033436399,0.0037630882356249518,0.004247169840460857,0.007257178438052,0.0033517563822705247,0.005914021695460024,0.0025899590509065656,0.004478974659339524
132,0.002054965127864497,0.0034381688312804595,0.002292973183678617,0.0038352197820636365,0.00431676490445652,0.007257279914097163,0.003393665158371041,0.005976673099420751,0.0025910832442648467,0.004566847642600587
133,0.0020712846543579078,0.0034617834492902577,0.0023158963941086845,0.003902703636697003,0.004328149001268694,0.007281139888867897,0.003452622654559247,0.006008255969569847,0.0025985372117026152,0.0045859719393681565
134,0.002079538141287008,0.0035720877147739885,0.0023173430308094014,0.003957006922824257,0.004506594155767829,0.007371860900053724,0.0035031109365500647,0.006031521752391429,0.002606743156022436,0.004606723046354991
135,0.002200187252615094,0.003591932935093683,0.0024423500226100903,0.003982128208599804,0.004592844348505029,0.0074645497132667885,0.0035338180630164256,0.006126040806054515,0.0026097987004869306,0.004608342451505123
136,0.0022130336031681323,0.003616687901963029,0.002452422993917991,0.004086051811650217,0.004612965950932936,0.00755315057569587,0.0035411139803415235,0.006417163128480119,0.002634535010839025,0.00461328795360782
137,0.002247087306264155,0.0036302595306206167,0.002496148798995835,0.004126723554962348,0.0046480372434361174,0.007595394458025443,0.0035592357968196936,0.006702374468498977,0.0026758938869665514,0.004628216552392935
138,0.0022863822728015058,0.003693440898701195,0.0024982915270946996,0.004253299856905529,0.0046611447061208474,0.007712691985455092,0.003579474345065732,0.006721956241913839,0.002687384795603714,0.00466458597368881
139,0.0023031362084611727,0.003770305299354517,0.002522669933153271,0.004295571795087916,0.0046649252437339535,0.007813945131882669,0.003600028515077347,0.006732775508087186,0.002703395718402418,0.004677291505664386
140,0.0023103702922249183,0.0038133807717901343,0.0025248090857528955,0.00431861746620131,0.004678821611447283,0.007832347205578185,0.0037194663996280536,0.006765677288086182,0.002715819372004205,0.004756830576683278
